case_id,n_actives,n_decoys,baseline_auc,aptamer_auc,delta_auc,rmsd_aptamer,ef1_aptamer
1fmn-fmn-riboswitch,2,14,0.786,0.857,0.071,,
1fmn-fmn-riboswitch-mg,2,14,0.762,0.786,0.024,,
1y26-adenine-riboswitch,5,100,0.848,0.876,+0.029,15.4,20.0
1y27-guanine-riboswitch,5,100,0.876,0.824,-0.052,26.6,20.0
2g9c-purine-riboswitch,7,176,0.909,0.93,0.021,,
2gdi-tpp-riboswitch,14,532,0.319,0.562,0.243,,
2hoj-tpp-riboswitch,14,532,0.29,0.667,0.377,,
2qwy-sam-ii-riboswitch,3,100,0.546,0.674,+0.127,73.1,
2ygh-sam-riboswitch,6,476,0.427,0.66,0.233,,
3b4b-glms-riboswitch,8,330,0.346,0.57,0.224,,
3d0u-lysine-riboswitch,8,98,0.218,0.277,0.059,,
3irw-c-di-gmp-riboswitch,4,98,0.973,0.976,0.003,,
3mxh-cdigmp-ii-riboswitch,2,100,0.959,1.000,+0.041,20.5,50.0
3q50-preq1-ii-riboswitch,5,100,0.411,0.576,+0.165,60.0,
3sd3-thf-riboswitch,8,300,0.307,0.357,0.05,,
4q9r-spinach-2zy,2,10,0.3,0.3,0.0,,
4qlm-c-di-amp-riboswitch,6,84,0.96,0.992,0.032,,
4rzd-preq1-riboswitch,10,148,0.958,0.88,-0.078,,
5bjp-corn-dfho,5,40,0.95,0.847,-0.103,,
5dhb-gmp-primer-template,4,98,0.939,0.986,0.047,,
6c64-mango-ii-ekm,6,40,0.878,0.894,0.016,,
6wzs-ztp-riboswitch,10,60,0.678,0.813,0.135,,
