case_id,baseline_auc,aptamer_auc,delta_auc,n_actives,n_decoys
1fmn-fmn-riboswitch,0.786,0.857,0.071,2,14
1fmn-fmn-riboswitch-mg,0.762,0.786,0.024,2,14
1y26-adenine-riboswitch,0.848,0.876,+0.029,5,100
1y27-guanine-riboswitch,0.876,0.824,-0.052,5,100
2g9c-purine-riboswitch,0.909,0.93,0.021,7,176
2gdi-tpp-riboswitch,0.319,0.562,0.243,14,532
2hoj-tpp-riboswitch,0.29,0.667,0.377,14,532
2qwy-sam-ii-riboswitch,0.546,0.674,+0.127,3,100
2ygh-sam-riboswitch,0.427,0.66,0.233,6,476
3b4b-glms-riboswitch,0.346,0.57,0.224,8,330
3d0u-lysine-riboswitch,0.218,0.277,0.059,8,98
3e5c-sam-iii-riboswitch,0.480,0.643,+0.163,3,238
3gao-guanine-xanthine-riboswitch,0.991,0.967,-0.024,5,42
3irw-c-di-gmp-riboswitch,0.973,0.976,0.003,4,98
3mxh-cdigmp-ii-riboswitch,0.959,1.000,+0.041,2,100
3q50-preq1-ii-riboswitch,0.411,0.576,+0.165,5,100
3sd3-thf-riboswitch,0.307,0.357,0.05,8,300
3ski-deoxyguanosine-riboswitch,0.652,0.352,-0.300,5,42
4lvv-thf-riboswitch-ii,0.332,0.407,+0.075,4,150
4nya-thim-tpp-analog-riboswitch,0.507,0.578,+0.070,7,266
4q9r-spinach-2zy,0.3,0.3,0.0,2,10
4qlm-c-di-amp-riboswitch,0.96,0.992,0.032,6,84
4rzd-preq1-riboswitch,0.958,0.88,-0.078,10,148
4tzx-adenine-mg-riboswitch,0.876,0.743,-0.133,5,42
4xw7-zmp-riboswitch,0.540,0.627,+0.087,5,30
4yaz-cgamp-riboswitch,0.184,0.541,+0.357,2,49
4znp-zmp-riboswitch-ii,0.493,0.373,-0.120,5,30
5bjp-corn-dfho,0.95,0.847,-0.103,5,40
5c45-fmn-inhibitor-riboswitch,0.095,1.000,+0.905,3,14
5ddq-glutamine-riboswitch,0.107,0.352,+0.245,4,49
5dhb-gmp-primer-template,0.939,0.986,0.047,4,98
5kpy-hydroxytryptophan-aptamer,0.551,0.483,-0.068,4,49
5kx9-fmn-riboswitch-inhibitor2,0.119,1.000,+0.881,3,14
5nz6-guanidine-iii-riboswitch,0.261,0.237,-0.024,5,49
5ob3-ispinach-aptamer,0.300,0.100,-0.200,1,10
5t83-guanidine-i-riboswitch,0.433,0.469,+0.037,5,49
5u3g-guanidine-ykkc-riboswitch,0.510,0.482,-0.029,5,49
6c64-mango-ii-ekm,0.878,0.894,0.016,6,40
6dmc-ppgpp-riboswitch,0.295,0.504,+0.209,15,266
6dmd-ppgpp-mn-riboswitch,0.313,0.642,+0.329,15,266
6e8s-imango-iii-aptamer,0.483,0.550,+0.067,3,20
6e8t-mango-iii-aptamer,0.683,0.733,+0.050,3,20
6fz0-sam-v-riboswitch,0.567,0.423,-0.144,3,238
6wzs-ztp-riboswitch,0.678,0.813,0.135,10,60
7kvv-squash-aptamer,0.500,0.900,+0.400,1,10
7szu-pepper-aptamer,0.633,0.283,-0.350,3,20
7u0y-pepper-hbc599-aptamer,0.167,0.400,+0.233,3,20
