case_id,system_type,curation_status,reference_affinity_kcal_mol,macdock_pure_vina_score,macdock_aptamer_score,ligand_p_contribution,phosphate_contribution,stacking_contribution,metal_contribution,contact_hit_fraction,expected_contacts_n,decoy_pose_count,elapsed_s
t6-thrombin-vina,dna_aptamer_protein,validated,-17.200,-6.009,-6.009,0.000,0.000,0.000,0.000,0.000,4,0,19.4
4q9r-spinach-2zy,rna_ligand,validated,,-6.992,-6.992,0.000,-0.000,0.000,-0.000,0.000,3,10,11.4
1fmn-fmn-riboswitch,rna_ligand,validated,,-11.153,-11.970,-0.710,0.000,-0.108,0.000,1.000,9,0,13.2
1fmn-fmn-riboswitch-mg,rna_ligand,validated,,-10.913,-12.343,-0.710,0.000,-0.051,-0.669,1.000,9,0,13.2
2g9c-purine-riboswitch,rna_ligand,validated,,-4.286,-4.375,0.000,-0.044,0.000,-0.044,0.000,3,0,7.1
4rzd-preq1-riboswitch,rna_ligand,validated,-9.750,-7.462,-7.999,0.000,-0.041,-0.489,-0.006,0.500,8,0,10.0
2gdi-tpp-riboswitch,rna_ligand,validated,-10.980,-5.862,-7.564,-1.702,-0.000,0.000,-0.000,0.333,15,0,3.2
2ygh-sam-riboswitch,rna_ligand,validated,-9.550,-10.131,-10.227,0.000,-0.001,-0.095,-0.001,1.000,9,0,15.5
3b4b-glms-riboswitch,rna_ligand,validated,-4.640,-3.351,-4.203,-0.851,-0.001,0.000,-0.001,1.000,7,0,1.7
2hoj-tpp-riboswitch,rna_ligand,validated,-9.960,-7.338,-12.860,-1.419,-0.002,-4.101,0.000,1.000,9,0,13.1
3sd3-thf-riboswitch,rna_ligand,validated,,-7.812,-7.815,0.000,-0.001,0.000,-0.001,0.000,10,0,8.6
5dhb-gmp-primer-template,rna_ligand,validated,,-4.838,-5.705,-0.810,-0.036,0.000,-0.021,0.500,6,0,1.2
6c64-mango-ii-ekm,rna_ligand,validated,,-7.771,-7.934,0.000,-0.004,-0.159,0.000,1.000,7,0,6.3
5bjp-corn-dfho,rna_ligand,validated,,-8.089,-8.089,0.000,0.000,0.000,0.000,0.000,6,0,4.4
6wzs-ztp-riboswitch,rna_ligand,validated,,-7.188,-8.396,0.000,-0.042,-1.123,-0.042,0.500,8,0,9.0
3irw-c-di-gmp-riboswitch,rna_ligand,validated,,-9.532,-12.127,-1.791,-0.029,0.000,-0.776,0.667,10,0,11.7
4qlm-c-di-amp-riboswitch,rna_ligand,validated,,-11.243,-13.035,-1.791,-0.001,0.000,-0.001,0.500,9,0,14.4
3d0u-lysine-riboswitch,rna_ligand,validated,,-5.433,-5.513,0.000,-0.040,0.000,-0.040,0.000,7,0,10.9
3oww-glycine-riboswitch,rna_ligand,validated,,-2.730,-3.567,0.000,-0.067,0.000,-0.770,1.000,7,0,7.3
