case_id,n_actives,n_decoys,baseline_auc,aptamer_auc,delta_auc
2g9c-purine-riboswitch,7,176,0.909,0.93,0.021
2hoj-tpp-riboswitch,14,532,0.29,0.667,0.377
2ygh-sam-riboswitch,6,476,0.427,0.66,0.233
3b4b-glms-riboswitch,8,330,0.346,0.57,0.224
3sd3-thf-riboswitch,8,300,0.307,0.357,0.05
4rzd-preq1-riboswitch,10,148,0.958,0.88,-0.078
5bjp-corn-dfho,5,40,0.95,0.847,-0.103
5dhb-gmp-primer-template,4,98,0.939,0.986,0.047
6c64-mango-ii-ekm,6,40,0.878,0.894,0.016
6wzs-ztp-riboswitch,10,60,0.678,0.813,0.135
2gdi-tpp-riboswitch,14,532,0.319,0.562,0.243
1fmn-fmn-riboswitch,2,14,0.786,0.857,0.071
1fmn-fmn-riboswitch-mg,2,14,0.762,0.786,0.024
3d0u-lysine-riboswitch,8,98,0.218,0.277,0.059
3irw-c-di-gmp-riboswitch,4,98,0.973,0.976,0.003
4q9r-spinach-2zy,2,10,0.3,0.3,0.0
4qlm-c-di-amp-riboswitch,6,84,0.96,0.992,0.032
