case_id,case_name,pose_id,role,source_mode,rank,total_score,phosphate_electrostatic,ligand_phosphate,base_stacking,metal_coordination,contact_count,clash_count,rmsd_to_reference,expected_contact_hit_fraction,top_aptamer_interactions
t6-thrombin-vina,T6 thrombin aptamer Vina reference,mode:1,reference,1,1,-17.650649,-0.181358,0.000000,0.000000,0.000000,3439,15,0.000,1.000,phosphateElectrostatic A:7:P#161 -> I:666:OD2#81 3.86 A score -0.019 | phosphateElectrostatic A:6:P#134 -> I:667:HZ2#93 3.86 A score -0.019 | phosphateElectrostatic A:6:P#134 -> I:667:HZ3#94 4.24 A score -0.016
t6-thrombin-vina,T6 thrombin aptamer Vina reference,mode:3,vina_output,3,2,-16.695249,-0.268714,0.000000,0.000000,0.000000,3252,14,4.384,1.000,phosphateElectrostatic A:29:P#701 -> I:673:1HD2#142 3.65 A score -0.021 | phosphateElectrostatic A:29:P#701 -> I:673:2HD2#143 3.86 A score -0.019 | phosphateElectrostatic A:29:P#701 -> I:673:ND2#141 3.89 A score -0.019
t6-thrombin-vina,T6 thrombin aptamer Vina reference,mode:2,vina_output,2,3,-15.783041,-0.614322,0.000000,0.000000,0.000000,3358,12,26.606,1.000,phosphateElectrostatic A:10:P#235 -> I:668:HG1#102 3.11 A score -0.026 | phosphateElectrostatic A:11:P#262 -> I:667:HZ3#94 3.18 A score -0.025 | phosphateElectrostatic A:10:P#235 -> I:829:2HD2#1566 3.28 A score -0.025
t6-thrombin-vina,T6 thrombin aptamer Vina reference,mode:4,vina_output,4,4,-13.756182,-0.341182,0.000000,0.000000,0.000000,2922,12,30.172,0.917,phosphateElectrostatic A:11:P#262 -> I:829:2HD2#1566 3.55 A score -0.022 | phosphateElectrostatic A:8:P#188 -> I:662:OE1#43 3.82 A score -0.020 | phosphateElectrostatic A:8:P#188 -> I:662:OE2#44 3.94 A score -0.019
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,mode:1,reference,1,1,-10.690650,-0.003487,0.000000,-0.360246,0.000000,2259,54,0.000,0.500,baseStacking R:102:C16#4 -> R:54:C8#1138 3.38 A score -0.204 | baseStacking R:102:C16#4 -> R:53:C8#1116 2.99 A score -0.156 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.87 A score -0.002
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:6,decoy,6,2,15.914704,-0.003531,0.000000,-0.395483,0.000000,2199,78,8.224,0.500,baseStacking R:102:C16#4 -> R:23:C8#472 3.54 A score -0.254 | baseStacking R:102:C16#4 -> R:53:C8#1116 2.92 A score -0.141 | phosphateElectrostatic R:102:O18#1 -> R:53:P#1103 5.89 A score -0.002
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:2,decoy,2,3,17.045364,-0.011401,0.000000,-0.244137,0.000000,2142,85,1.400,0.500,baseStacking R:102:C16#4 -> R:54:C8#1138 3.62 A score -0.244 | phosphateElectrostatic R:102:O9#16 -> R:24:P#482 5.38 A score -0.011 | phosphateElectrostatic R:102:O9#16 -> R:23:P#459 5.99 A score -0.000
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:1,decoy,1,4,27.024904,-0.045171,0.000000,-0.219501,0.000000,2032,84,1.400,0.500,baseStacking R:102:C16#4 -> R:54:C8#1138 4.13 A score -0.220 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 4.55 A score -0.026 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 5.07 A score -0.017
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:3,decoy,3,5,31.828021,-0.025711,0.000000,-0.308346,0.000000,2239,97,1.000,0.500,baseStacking R:102:C16#4 -> R:53:C8#1116 3.76 A score -0.308 | phosphateElectrostatic R:102:O9#16 -> R:23:P#459 4.96 A score -0.019 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.66 A score -0.006
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:7,decoy,7,6,78.134969,-0.024568,0.000000,0.000000,0.000000,2071,124,7.091,0.000,phosphateElectrostatic R:102:O9#16 -> R:54:P#1125 4.64 A score -0.025 | baseStackingNearMiss C16#4 -> C8#1116 plane 3.69 A lateral 1.32 A angle 68.7 deg fail angle | baseStackingNearMiss C16#4 -> C8#472 plane 2.99 A lateral 3.29 A angle 65.7 deg fail angle
