case_id,case_name,pose_id,role,source_mode,rank,total_score,phosphate_electrostatic,base_stacking,metal_coordination,contact_count,clash_count,rmsd_to_reference,expected_contact_hit_fraction,top_aptamer_interactions
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,mode:1,reference,1,1,-10.534678,-0.003487,-0.204274,0.000000,2258,54,0.000,1.000,baseStacking R:102:C16#4 -> R:54:C8#1138 3.38 A score -0.204 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.87 A score -0.002 | phosphateElectrostatic R:102:O9#16 -> R:23:P#459 5.94 A score -0.001
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:6,decoy,6,2,16.168901,-0.003531,-0.141286,0.000000,2198,78,8.224,0.750,baseStacking R:102:C16#4 -> R:53:C8#1116 2.92 A score -0.141 | phosphateElectrostatic R:102:O18#1 -> R:53:P#1103 5.89 A score -0.002 | phosphateElectrostatic R:102:O18#1 -> R:54:P#1125 5.92 A score -0.002
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:2,decoy,2,3,17.289501,-0.011401,0.000000,0.000000,2141,85,1.400,0.000,phosphateElectrostatic R:102:O9#16 -> R:24:P#482 5.38 A score -0.011 | phosphateElectrostatic R:102:O9#16 -> R:23:P#459 5.99 A score -0.000
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:1,decoy,1,4,27.024904,-0.045171,-0.219501,0.000000,2032,84,1.400,1.000,baseStacking R:102:C16#4 -> R:54:C8#1138 4.13 A score -0.220 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 4.55 A score -0.026 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 5.07 A score -0.017
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:3,decoy,3,5,32.136367,-0.025711,0.000000,0.000000,2238,97,1.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:23:P#459 4.96 A score -0.019 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.66 A score -0.006 | phosphateElectrostatic R:102:O9#16 -> R:24:P#482 5.96 A score -0.001
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:7,decoy,7,6,78.134969,-0.024568,0.000000,0.000000,2071,124,7.091,0.250,phosphateElectrostatic R:102:O9#16 -> R:54:P#1125 4.64 A score -0.025
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:4,decoy,4,7,101.610948,-0.068489,-0.109136,0.000000,2210,130,2.933,0.500,baseStacking R:102:C16#4 -> R:53:C8#1116 3.47 A score -0.109 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 2.20 A score -0.068
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:9,decoy,9,8,143.910261,-0.215501,0.000000,0.000000,767,97,8.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 1.76 A score -0.076 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 2.94 A score -0.055 | phosphateElectrostatic R:102:O18#1 -> R:54:P#1125 3.78 A score -0.040
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:8,decoy,8,9,144.529886,-0.058478,0.000000,0.000000,2141,141,2.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:23:P#459 3.99 A score -0.036 | phosphateElectrostatic R:102:N12#9 -> R:55:P#1148 5.40 A score -0.011 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.62 A score -0.007
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:5,decoy,5,10,269.925777,-0.098339,0.000000,0.000000,1960,189,5.411,0.250,phosphateElectrostatic R:102:O9#16 -> R:54:P#1125 1.24 A score -0.086 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 5.30 A score -0.013
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:10,decoy,10,11,271.284765,-0.089887,0.000000,0.000000,1654,188,8.000,0.000,phosphateElectrostatic R:102:O9#16 -> R:50:P#1040 3.59 A score -0.043 | phosphateElectrostatic R:102:O9#16 -> R:51:P#1060 4.80 A score -0.022 | phosphateElectrostatic R:102:N12#9 -> R:53:P#1103 5.18 A score -0.015
