case_id,case_name,system_type,mode,vina_affinity_kcal_mol,output_affinity_kcal_mol,expected_best_affinity_kcal_mol,vina_inspired_score,aptamer_interaction_score,phosphate_electrostatic,base_stacking,metal_coordination,contact_count,clash_count,evaluated_pair_count,expected_contact_hit_fraction,vina_elapsed_time_seconds,macvina_elapsed_time_seconds
t6-thrombin-vina,T6 thrombin aptamer Vina reference,dna_aptamer_protein,1,-17.200,-17.200,-17.200,-17.469291,-17.650649,-0.181358,0.000000,0.000000,3439,15,5346,1.000,5530.437,3.623843
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,rna_ligand,1,n/a,n/a,n/a,-10.326917,-10.534678,-0.003487,-0.204274,0.000000,2258,54,2383,1.000,n/a,0.858319
1fmn-fmn-riboswitch,FMN riboswitch bound to flavin mononucleotide,rna_ligand,1,n/a,n/a,n/a,-8.716109,-9.230038,-0.314339,-0.199590,0.000000,2774,35,2844,1.000,n/a,1.432538
1fmn-fmn-riboswitch-mg,FMN riboswitch with crystallographic Mg bridge,rna_ligand,1,n/a,n/a,n/a,-8.047419,-8.818028,-0.412836,-0.199590,-0.158184,2784,38,2857,1.000,n/a,1.403711
2g9c-purine-riboswitch,"Adenine/purine riboswitch bound to 3AY (pyrimidine-2,4,6-triamine)",rna_ligand,1,n/a,n/a,n/a,-4.526907,-4.526907,0.000000,0.000000,0.000000,1092,22,1114,0.000,n/a,0.541608
4rzd-preq1-riboswitch,PreQ1 riboswitch bound to PRF (7-aminomethyl-7-deazaguanine analog),rna_ligand,1,n/a,n/a,-9.750,-3.894129,-4.243997,-0.112677,-0.237191,0.000000,1316,37,2250,0.333,n/a,1.429641
2gdi-tpp-riboswitch,"TPP riboswitch bound to CCC (thiamine pyrophosphate analog, chain X)",rna_ligand,1,n/a,n/a,-10.980,5.102097,4.838371,-0.098115,-0.165612,0.000000,576,19,626,0.562,n/a,0.702802
2ygh-sam-riboswitch,SAM-I riboswitch bound to S-adenosylmethionine,rna_ligand,1,n/a,n/a,-9.550,-11.409113,-11.618967,0.000000,-0.209854,0.000000,2567,24,2630,0.175,n/a,1.073326
3b4b-glms-riboswitch,glmS riboswitch/ribozyme bound to glucosamine-6-phosphate (GlcN6P),rna_ligand,1,n/a,n/a,-4.640,-1.922547,-2.332284,-0.153181,-0.256556,0.000000,401,6,460,0.375,n/a,0.061642
2hoj-tpp-riboswitch,TPP riboswitch bound to thiamine pyrophosphate,rna_ligand,1,n/a,n/a,-9.960,-7.847912,-8.430727,-0.118437,-0.464378,0.000000,2017,26,2113,0.500,n/a,0.719671
